Unnamed: 0,id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,updated,isFake,timestamp,crawled_at,test_set_1,test_set_2
3036,622111989,Amal Erickson,amalericksonnn,17,20,259,0,0,Fri Jun 29 16:17:12 +0000 2012,,en,,HoustAtlantaVegas,1.0,,,http://a0.twimg.com/profile_images/3020374451/2e8b49ba86880003f4978f8ac423ef5c_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3020374451/2e8b49ba86880003f4978f8ac423ef5c_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,drakejcoleeminemwizkhalifakidcudimamiler,,,12-06-2013 18:38,1.0,,,,
2068,294687282,Mariel zazulie,marielzazulie,1,24,480,1,0,Sat May 07 15:50:44 +0000 2011,,es,,,1.0,,,http://a0.twimg.com/profile_images/1342837897/image_normal.jpg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/1342837897/image_normal.jpg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,,,,12-06-2013 18:38,1.0,,,,
5331,54316606,marinela potor,marinalapotor,904,183,474,3,10,Mon Jul 06 20:08:32 +0000 2009,https://t.co/ML27j0UoJ6,en,Greenland,the world,,,,http://pbs.twimg.com/profile_images/443611065/1-009a7fed37620ef7136adf0489c2451a-m_normal.jpg,,,https://abs.twimg.com/images/themes/theme6/bg.gif,333333,https://pbs.twimg.com/profile_images/443611065/1-009a7fed37620ef7136adf0489c2451a-m_normal.jpg,86A4A6,,A0C5C7,http://abs.twimg.com/images/themes/theme6/bg.gif,709397,FF3300,-7200.0,,,,,,"journalist, blogger, full time traveler http://t.co/hSkAiKQDIH",,,15-03-2016 16:07,0.0,06-07-2009 22:08,01-05-2015 21:28,0.0,0.0
1571,1127241931,Tandra Riddle,TandraRiddle,27,13,215,0,0,Mon Jan 28 06:53:22 +0000 2013,,en,,DC | LA | Charlotte,1.0,,,http://a0.twimg.com/profile_images/3302164249/b727440855bd41eb3aed213571283a67_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3302164249/b727440855bd41eb3aed213571283a67_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,Artis/Songwritr,,,12-06-2013 18:38,1.0,,,,
4621,321162905,Nicole,nic_thebrit,25362,1285,586,1255,10,Tue Jun 21 03:44:23 +0000 2011,,en,Central Time (US & Canada),Utopia,,,,http://pbs.twimg.com/profile_images/586592731365036034/9bbwNeAt_normal.jpg,https://pbs.twimg.com/profile_banners/321162905/1415997303,,https://pbs.twimg.com/profile_background_images/713669439/08711f71f4011d9fd26d5f3f226786af.png,120912,https://pbs.twimg.com/profile_images/586592731365036034/9bbwNeAt_normal.jpg,FFFFFF,,DDEEF6,http://pbs.twimg.com/profile_background_images/713669439/08711f71f4011d9fd26d5f3f226786af.png,F0F3F5,7F41A8,-18000.0,,,,,,England | Mexico | MUSIC lover | passionate | emotional | deep | sarcastic | ? | http://t.co/NPEa6mE0Pd | @Ibero909FM | @CirculoMixup | @FILTERMexico,,,15-03-2016 16:08,0.0,21-06-2011 05:44,01-05-2015 21:01,0.0,0.0
6049,395458764,JostekeT,JostekeT,0,1,513,0,0,Fri Oct 21 17:56:48 +0000 2011,,ru,,,1.0,,,http://a0.twimg.com/profile_images/2354640682/vetton_ru_808_normal.jpg,,1.0,https://twimg0-a.akamaihd.net/images/themes/theme1/bg.png,333333,https://twimg0-a.akamaihd.net/profile_images/2354640682/vetton_ru_808_normal.jpg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,,,,12-06-2013 18:38,1.0,,,,
4957,898427606,Kieran the Whale,KCaton04,28353,343,320,6442,2,Mon Oct 22 21:10:25 +0000 2012,,en,,Trinidad,,,1.0,http://pbs.twimg.com/profile_images/558083362603405317/pDANgsvK_normal.jpeg,https://pbs.twimg.com/profile_banners/898427606/1378288852,,https://abs.twimg.com/images/themes/theme1/bg.png,0,https://pbs.twimg.com/profile_images/558083362603405317/pDANgsvK_normal.jpeg,0,,0,http://abs.twimg.com/images/themes/theme1/bg.png,0,63008A,,,,,,,"Love God, love Dragon Boat, love music, love my friends. That's me in a nutshell :) My girlfriend is amazing",,,15-03-2016 15:57,0.0,22-10-2012 23:10,01-05-2015 19:48,0.0,0.0
5398,275325886,l?l ??a??? ??.,Shardai__,17566,456,274,2874,0,Fri Apr 01 02:10:05 +0000 2011,,en,Eastern Time (US & Canada),,,,1.0,http://pbs.twimg.com/profile_images/592189186909679617/1kvBR5Za_normal.jpg,https://pbs.twimg.com/profile_banners/275325886/1430447538,1.0,https://pbs.twimg.com/profile_background_images/735486843/86288ab2bf361c11f954b981fda00f04.jpeg,333333,https://pbs.twimg.com/profile_images/592189186909679617/1kvBR5Za_normal.jpg,FFFFFF,1.0,E6F6F9,http://pbs.twimg.com/profile_background_images/735486843/86288ab2bf361c11f954b981fda00f04.jpeg,DBE9ED,24F02B,-14400.0,,,,,,boosie free. ?,,,15-03-2016 16:00,0.0,01-04-2011 04:10,01-05-2015 17:46,1.0,0.0
4459,616901659,Marianne Jones,jonesalqqr,63,26,532,0,0,Sun Jun 24 07:58:50 +0000 2012,,en,,San Diego,1.0,,,http://a0.twimg.com/profile_images/3239188914/84132ec8c89480757892bb7303cb87ba_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3239188914/84132ec8c89480757892bb7303cb87ba_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,"Entrepreneur, poet, and a woman enoying the imple pleasure of life with family and friends.",,,11-06-2013 17:39,1.0,,,,
1593,358748061,? Matthew,mwooling,5998,342,340,5834,0,Sat Aug 20 12:45:09 +0000 2011,,en,Atlantic Time (Canada),,1.0,,,http://pbs.twimg.com/profile_images/588552356939173888/m1AYBvpR_normal.jpg,https://pbs.twimg.com/profile_banners/358748061/1413943418,1.0,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/588552356939173888/m1AYBvpR_normal.jpg,C0DEED,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,-10800.0,,,,,,who better for ya than the boy huh ? IG:mwooling                                                         Trinidad and Tobago,,,15-03-2016 16:08,0.0,20-08-2011 14:45,02-05-2015 00:57,0.0,0.0
4542,321370989,ABU D. ZAR,ahbooza,40796,535,444,1337,3,Tue Jun 21 13:25:55 +0000 2011,,en,Wellington,IMAGINATION,,,1.0,http://pbs.twimg.com/profile_images/590890717473480704/KYFFn279_normal.jpg,https://pbs.twimg.com/profile_banners/321370989/1394076763,1.0,https://pbs.twimg.com/profile_background_images/276220004/000123.JPG,333333,https://pbs.twimg.com/profile_images/590890717473480704/KYFFn279_normal.jpg,C0DEED,1.0,DDEEF6,http://pbs.twimg.com/profile_background_images/276220004/000123.JPG,C0DEED,0084B4,43200.0,,,,,,Part time eVe PR Rep. Also known as GiL-GaLad,,,15-03-2016 16:02,0.0,21-06-2011 15:25,01-05-2015 21:03,0.0,0.0
